sn,ResponseID,rating,StartDate,EndDate,genderq,ageq,edu,socpol,ecopol,polpos,polpref
9,"R_1Lke8sjJRYjDBU0",7,"2020-11-29 21:34:11","2020-11-29 21:37:52",1,48,5,1,2,3,3
9,"R_1dbscIzn3PlAzXA",6,"2020-11-29 20:41:55","2020-11-29 20:44:33",1,24,5,4,6,2,4
9,"R_1gFJ0I1zSQMsGoa",7,"2020-11-29 19:35:46","2020-11-29 19:43:22",1,29,2,3,2,1,3
9,"R_1gSBWY7AB96jft1",7,"2020-11-29 18:43:32","2020-11-29 18:47:19",2,31,4,1,1,4,3
9,"R_1ogPqKcAadKPk3X",5,"2020-11-25 13:48:19","2020-11-25 13:51:14",1,41,5,2,2,1,2
9,"R_20PtRsIkG4h9Yvy",6,"2020-11-29 19:55:54","2020-11-29 19:59:34",1,41,6,1,2,1,2
9,"R_25G9fbC9CDjSokW",6,"2020-11-29 17:24:44","2020-11-29 17:30:21",1,30,2,3,4,3,4
9,"R_2DRIvDeVVuqcodH",7,"2020-11-29 19:36:38","2020-11-29 19:40:10",1,33,6,1,1,1,1
9,"R_2DUpRH6tt0xTNhg",5,"2020-11-29 23:27:39","2020-11-29 23:34:34",1,43,5,4,4,3,4
9,"R_2rYpnK1NSZ7YsAj",4,"2020-11-25 15:41:42","2020-11-25 15:44:50",1,32,5,4,3,1,2
9,"R_3HI923HVj4PdHBp",7,"2020-11-29 23:24:54","2020-11-29 23:29:35",2,38,4,1,1,1,1
9,"R_3ilnqTnxcyYotlD",6,"2020-11-29 22:00:44","2020-11-29 22:10:56",1,37,4,5,5,3,3
9,"R_4UymFkqyBYQ49CV",4,"2020-11-29 23:32:46","2020-11-29 23:36:24",2,55,6,3,3,3,4
9,"R_5A83zXgAGBSmOS5",6,"2020-11-29 19:40:32","2020-11-29 19:43:09",2,38,4,4,4,2,4
9,"R_AO4zCoYgcFoLFN7",7,"2020-11-29 21:35:22","2020-11-29 21:40:34",1,27,4,4,4,3,4
9,"R_Ail5rPIHizarTK9",7,"2020-11-29 19:36:03","2020-11-29 19:38:43",2,30,5,2,3,1,3
9,"R_O0sMr09Xw32DAIN",4,"2020-11-30 00:13:09","2020-11-30 00:25:02",,,,,,,
9,"R_Tqkz0fUFG5dT0ZP",7,"2020-11-29 19:35:35","2020-11-29 19:39:09",1,31,5,1,1,1,2
9,"R_qw1T48ASyiHCS3v",6,"2020-11-30 00:30:49","2020-11-30 00:43:30",1,29,5,1,1,2,6
9,"R_u9SatPBBbegCeAN",5,"2020-11-29 23:49:24","2020-11-29 23:51:40",1,58,6,5,4,2,5
10,"R_0NWklsw3xsOqZc5",5,"2020-11-25 18:29:21","2020-11-25 18:33:40",1,39,5,4,4,3,3
10,"R_1dhM5tDK4CGTMlJ",5,"2020-11-29 19:44:43","2020-11-29 19:47:25",1,24,5,4,5,1,2
10,"R_1gSBWY7AB96jft1",5,"2020-11-29 18:43:32","2020-11-29 18:47:19",2,31,4,1,1,4,3
10,"R_1j9aWmD8pHYhqTU",5,"2020-11-29 21:35:58","2020-11-29 21:45:27",1,51,6,4,5,1,2
10,"R_2ZWxLtW53hjIc1v",5,"2020-11-29 23:26:45","2020-11-29 23:32:38",1,22,5,4,2,1,2
10,"R_2b2HDoKz6ZCLRpy",4,"2020-11-29 22:02:58","2020-11-29 22:10:17",1,30,6,5,4,3,5
10,"R_3DiqeVFNYxoW13z",5,"2020-11-29 18:22:05","2020-11-29 18:29:02",2,56,6,2,2,1,2
10,"R_3NWbnhZnjpzcdBp",7,"2020-11-25 19:37:53","2020-11-25 19:44:01",1,45,4,3,5,3,3
10,"R_3PESGuD6wmUbnvD",1,"2020-11-30 04:41:01","2020-11-30 04:44:03",1,29,5,1,1,2,6
10,"R_3mJ1dfuWDLKiJLH",4,"2020-11-29 18:08:50","2020-11-29 18:11:49",2,58,5,5,5,1,1
